directory,gender,category,cloth_id,file_name,cloth_fabric,cloth_type,clothes_color,image_id,masking_number,first_type,cloth_type_id,old_type_id,type_id
img,WOMEN,Blouses_Shirts,id_00004465,03_1_front.jpg,"chambray, lyocell","shirt, tank",Light blue,SE0004437,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00006236,02_1_front.jpg,"chambray, lyocell","cami, skirt, shirt",Medium denim,SE0005904,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00006511,01_1_front.jpg,"chambray, lyocell",top,Blue-ivory,SE0006107,2,chambray,2,17,
img,WOMEN,Tees_Tanks,id_00007181,01_1_front.jpg,"chambray, lyocell","cami, shirt, crop, cropped, spaghetti",Medium denim,SE0006694,2,chambray,2,17,
img,WOMEN,Tees_Tanks,id_00007181,02_1_front.jpg,"chambray, lyocell","cami, shirt, crop, cropped, spaghetti",Light denim,SE0006695,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00007258,01_1_front.jpg,"chambray, lyocell","sleeveless, shirt, vest",Dark denim,SE0006764,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00007258,02_1_front.jpg,"chambray, lyocell","sleeveless, shirt, vest",Light denim,SE0006765,2,chambray,2,17,
img,WOMEN,Blouses_Shirts,id_00006385,02_1_front.jpg,"chiffon, viscose","sleeveless, shirt",Blush,SE0006022,2,chiffon,2,8,
img,MEN,Sweaters,id_00000016,01_1_front.jpg,cotton,"tee, shirt, joggers",Navy-red,SE0000014,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000040,03_1_front.jpg,"cotton, rayon, semi-sheer, crochet, gauze","top, bodice",White-black,SE0000043,2,cotton,2,17,1
img,MEN,Sweaters,id_00000049,01_1_front.jpg,cotton,shirt,Blue-white,SE0000051,2,cotton,2,17,1
img,MEN,Sweaters,id_00000078,01_1_front.jpg,"cotton, nylon","tee, long-sleeved, shirt, tank, tees",White,SE0000073,2,cotton,2,17,1
img,MEN,Sweaters,id_00000078,03_1_front.jpg,"cotton, nylon","tee, long-sleeved, shirt, tank, tees",Navy,SE0000074,2,cotton,2,17,1
img,MEN,Sweaters,id_00000078,04_1_front.jpg,"cotton, nylon","tee, long-sleeved, shirt, tank, tees",Light blue,SE0000075,2,cotton,2,17,1
img,WOMEN,Dresses,id_00000083,02_1_front.jpg,"cotton, rayon",dress,Navy-cream,SE0000082,5,cotton,5,17,1
img,MEN,Denim,id_00000089,01_1_front.jpg,cotton,"dress, jeans",Black,SE0000090,7,cotton,7,17,1
img,MEN,Denim,id_00000089,02_1_front.jpg,cotton,"dress, jeans",Khaki,SE0000091,7,cotton,7,17,1
img,MEN,Denim,id_00000089,03_1_front.jpg,cotton,"dress, jeans",Grey,SE0000092,7,cotton,7,17,1
img,MEN,Denim,id_00000089,04_1_front.jpg,cotton,"dress, jeans",Navy,SE0000093,7,cotton,7,17,1
img,MEN,Denim,id_00000089,05_1_front.jpg,cotton,"dress, jeans",Burgundy,SE0000094,7,cotton,7,17,1
img,MEN,Denim,id_00000089,08_1_front.jpg,cotton,"dress, jeans",Olive,SE0000095,7,cotton,7,17,1
img,MEN,Denim,id_00000089,15_1_front.jpg,cotton,"dress, jeans",Red,SE0000096,7,cotton,7,17,1
img,MEN,Denim,id_00000089,18_1_front.jpg,cotton,"dress, jeans",Mustard,SE0000097,7,cotton,7,17,1
img,MEN,Denim,id_00000089,26_1_front.jpg,cotton,"dress, jeans",Dark olive,SE0000098,7,cotton,7,17,1
img,MEN,Denim,id_00000089,27_1_front.jpg,cotton,"dress, jeans",Brown,SE0000099,7,cotton,7,17,1
img,MEN,Denim,id_00000089,28_1_front.jpg,cotton,"dress, jeans",Emerald,SE0000100,7,cotton,7,17,1
img,MEN,Denim,id_00000089,29_1_front.jpg,cotton,"dress, jeans",Brick,SE0000101,7,cotton,7,17,1
img,MEN,Denim,id_00000089,44_1_front.jpg,cotton,"dress, jeans",Mauve,SE0000102,7,cotton,7,17,1
img,MEN,Denim,id_00000089,45_1_front.jpg,cotton,"dress, jeans",Light blue,SE0000103,7,cotton,7,17,1
img,MEN,Denim,id_00000089,46_1_front.jpg,cotton,"dress, jeans",Light green,SE0000104,7,cotton,7,17,1
img,MEN,Pants,id_00000114,03_1_front.jpg,"cotton, rayon","pants, trousers",Grey,SE0000129,7,cotton,7,17,1
img,MEN,Pants,id_00000114,06_1_front.jpg,"cotton, rayon","pants, trousers",Burgundy,SE0000130,7,cotton,7,17,1
img,MEN,Pants,id_00000114,07_1_front.jpg,"cotton, rayon","pants, trousers",Navy,SE0000131,7,cotton,7,17,1
img,MEN,Pants,id_00000114,08_1_front.jpg,"cotton, rayon","pants, trousers",Emerald,SE0000132,7,cotton,7,17,1
img,MEN,Pants,id_00000114,09_1_front.jpg,"cotton, rayon","pants, trousers",Mustard,SE0000133,7,cotton,7,17,1
img,WOMEN,Tees_Tanks,id_00000123,04_1_front.jpg,cotton,"top, cami, crop, spaghetti",Black,SE0000144,2,cotton,2,17,1
img,WOMEN,Tees_Tanks,id_00000123,05_1_front.jpg,cotton,"top, cami, crop, spaghetti",Rust,SE0000145,2,cotton,2,17,1
img,WOMEN,Tees_Tanks,id_00000123,06_1_front.jpg,cotton,"top, cami, crop, spaghetti",Olive,SE0000146,2,cotton,2,17,1
img,MEN,Pants,id_00000143,02_1_front.jpg,cotton,"joggers, trousers",Brown-black,SE0000166,7,cotton,7,17,1
img,MEN,Tees_Tanks,id_00000161,01_1_front.jpg,cotton,"top, tee",Grey-red,SE0000180,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000167,01_1_front.jpg,cotton,,Black-white,SE0000185,2,cotton,2,17,1
img,WOMEN,Dresses,id_00000178,01_1_front.jpg,"cotton, faux, leather","dress, long-sleeved, shirt",Dark navy-cream,SE0000193,5,cotton,5,17,1
img,MEN,Sweaters,id_00000192,01_1_front.jpg,cotton,"shorts, jeans, shirt, mini",Cream-black,SE0000204,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000193,04_1_front.jpg,cotton,"long-sleeved, shirt",Light blue-navy,SE0000205,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000193,05_1_front.jpg,cotton,"long-sleeved, shirt",White-black,SE0000206,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000193,06_1_front.jpg,cotton,"long-sleeved, shirt",White-grey,SE0000207,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000193,07_1_front.jpg,cotton,"long-sleeved, shirt",Olive-khaki,SE0000208,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000193,08_1_front.jpg,cotton,"long-sleeved, shirt",Mustard-navy,SE0000209,2,cotton,2,17,1
img,WOMEN,Denim,id_00000194,01_1_front.jpg,cotton,"jeans, shirt, sweater",Denim-green,SE0000210,7,cotton,7,17,1
img,MEN,Shirts_Polos,id_00000204,01_1_front.jpg,cotton,long-sleeved,Denim washed-white,SE0000220,2,cotton,2,17,1
img,MEN,Shorts,id_00000254,01_1_front.jpg,cotton,"shorts, shirt",Black-white,SE0000262,7,cotton,7,17,1
img,WOMEN,Denim,id_00000274,01_1_front.jpg,"cotton, rayon, denim, lyocell","dress, jeans",Khaki,SE0000280,7,cotton,7,17,1
img,WOMEN,Denim,id_00000274,02_1_front.jpg,"cotton, rayon, denim, lyocell","dress, jeans",Salmon,SE0000281,7,cotton,7,17,1
img,WOMEN,Dresses,id_00000287,01_1_front.jpg,cotton,"dress, long-sleeved, shirt",Cream-dark navy,SE0000296,5,cotton,5,17,1
img,MEN,Sweaters,id_00000289,02_1_front.jpg,"cotton, chambray",shirt,Indigo,SE0000299,2,cotton,2,17,1
img,MEN,Pants,id_00000290,04_1_front.jpg,cotton,"dress, joggers",Black-white,SE0000300,7,cotton,7,17,1
img,MEN,Pants,id_00000290,05_1_front.jpg,cotton,"dress, joggers",Burgundy-white,SE0000301,7,cotton,7,17,1
img,MEN,Pants,id_00000290,06_1_front.jpg,cotton,"dress, joggers",Navy-white,SE0000302,7,cotton,7,17,1
img,MEN,Pants,id_00000290,07_1_front.jpg,cotton,"dress, joggers",Olive-white,SE0000303,7,cotton,7,17,1
img,WOMEN,Dresses,id_00000293,02_1_front.jpg,"cotton, chambray","dress, sleeveless",Denim-cream,SE0000304,5,cotton,5,17,1
img,WOMEN,Blouses_Shirts,id_00000306,01_1_front.jpg,"cotton, rayon, crochet",top,Cream,SE0000317,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000309,02_1_front.jpg,cotton,sleeveless,Blue-ivory,SE0000320,2,cotton,2,17,1
img,MEN,Sweaters,id_00000321,01_1_front.jpg,cotton,"top, shirt",Navy-white,SE0000328,2,cotton,2,17,1
img,MEN,Shorts,id_00000337,07_1_front.jpg,cotton,shorts,Khaki,SE0000339,7,cotton,7,17,1
img,MEN,Shorts,id_00000337,08_1_front.jpg,cotton,shorts,Grey,SE0000340,7,cotton,7,17,1
img,MEN,Shorts,id_00000337,09_1_front.jpg,cotton,shorts,Navy,SE0000341,7,cotton,7,17,1
img,MEN,Shorts,id_00000337,10_1_front.jpg,cotton,shorts,Light blue,SE0000342,7,cotton,7,17,1
img,MEN,Shorts,id_00000337,11_1_front.jpg,cotton,shorts,Coral,SE0000343,7,cotton,7,17,1
img,WOMEN,Denim,id_00000361,01_1_front.jpg,cotton,jeans,Blue-ivory,SE0000368,7,cotton,7,17,1
img,WOMEN,Blouses_Shirts,id_00000367,01_1_front.jpg,"cotton, semi-sheer","dress, shirt, hood",White,SE0000377,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000369,01_1_front.jpg,"cotton, rayon, crochet",top,Black-cream,SE0000379,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000369,02_1_front.jpg,"cotton, rayon, crochet",top,Navy-cream,SE0000380,2,cotton,2,17,1
img,WOMEN,Dresses,id_00000381,01_1_front.jpg,cotton,"dress, sleeveless, shirt",Cream-black,SE0000400,5,cotton,5,17,1
img,WOMEN,Blouses_Shirts,id_00000387,01_1_front.jpg,cotton,"sleeveless, sweater",Blue-coral,SE0000404,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000387,02_1_front.jpg,cotton,"sleeveless, sweater",Navy-red,SE0000405,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000387,03_1_front.jpg,cotton,"sleeveless, sweater",Dark navy-cream,SE0000406,2,cotton,2,17,1
img,MEN,Sweaters,id_00000396,01_1_front.jpg,cotton,"top, shirt",Olive-orange,SE0000423,2,cotton,2,17,1
img,WOMEN,Dresses,id_00000404,02_1_front.jpg,"cotton, rayon, crochet","dress, sleeveless",Ivory,SE0000432,5,cotton,5,17,1
img,WOMEN,Blouses_Shirts,id_00000442,01_1_front.jpg,cotton,"sleeveless, shorts, skirt, shirt, skirts",Light denim,SE0000468,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000442,02_1_front.jpg,cotton,"sleeveless, shorts, skirt, shirt, skirts",Dark denim,SE0000469,2,cotton,2,17,1
img,WOMEN,Denim,id_00000444,01_1_front.jpg,cotton,"tee, jeans, boots",Medium denim,SE0000471,7,cotton,7,17,1
img,WOMEN,Denim,id_00000447,01_1_front.jpg,"cotton, crochet","top, tee, jeans, crop, cropped, blouse, tees",White,SE0000474,7,cotton,7,17,1
img,MEN,Pants,id_00000482,01_1_front.jpg,"cotton, denim","dress, pants",Blue,SE0000499,7,cotton,7,17,1
img,WOMEN,Blouses_Shirts,id_00000501,02_1_front.jpg,"cotton, rayon, crochet","top, bodice",Blush,SE0000516,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000506,01_1_front.jpg,cotton,shirt,Black-cream,SE0000521,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000506,02_1_front.jpg,cotton,shirt,Royal-cream,SE0000522,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00000506,03_1_front.jpg,cotton,shirt,Orange-cream,SE0000523,2,cotton,2,17,1
img,MEN,Denim,id_00000516,01_1_front.jpg,"cotton, denim","dress, jeans, pants, joggers, sweatpants",Denim washed-black,SE0000536,7,cotton,7,17,1
img,MEN,Sweaters,id_00000531,02_1_front.jpg,"cotton, denim","shorts, shirt",Navy-cream,SE0000544,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000541,01_1_front.jpg,"cotton, denim",,Blue,SE0000558,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000541,02_1_front.jpg,"cotton, denim",,Red,SE0000559,2,cotton,2,17,1
img,MEN,Denim,id_00000565,01_1_front.jpg,"cotton, denim","dress, jeans",Indigo,SE0000579,7,cotton,7,17,1
img,MEN,Shorts,id_00000597,01_1_front.jpg,cotton,"tee, shorts, tees",White-navy,SE0000609,7,cotton,7,17,1
img,MEN,Shorts,id_00000597,02_1_front.jpg,cotton,"tee, shorts, tees",Red-navy,SE0000610,7,cotton,7,17,1
img,WOMEN,Dresses,id_00000610,02_1_front.jpg,cotton,dress,Cream-burgundy,SE0000627,5,cotton,5,17,1
img,WOMEN,Denim,id_00000624,02_1_front.jpg,"cotton, denim",top,Medium denim,SE0000643,7,cotton,7,17,1
img,WOMEN,Denim,id_00000624,03_1_front.jpg,"cotton, denim",top,Light denim,SE0000644,7,cotton,7,17,1
img,MEN,Shirts_Polos,id_00000632,01_1_front.jpg,cotton,,Black-blue,SE0000647,2,cotton,2,17,1
img,MEN,Shorts,id_00000633,02_1_front.jpg,"cotton, mesh",shorts,Taupe-black,SE0000648,7,cotton,7,17,1
img,WOMEN,Blouses_Shirts,id_00000637,01_1_front.jpg,cotton,shirt,Blue-cream,SE0000652,2,cotton,2,17,1
img,MEN,Shorts,id_00000655,01_1_front.jpg,cotton,shorts,Blue-white,SE0000665,7,cotton,7,17,1
img,MEN,Shorts,id_00000655,03_1_front.jpg,cotton,shorts,Grey-white,SE0000666,7,cotton,7,17,1
img,MEN,Sweaters,id_00000661,01_1_front.jpg,cotton,,Blue-navy,SE0000669,2,cotton,2,17,1
img,WOMEN,Dresses,id_00000662,01_1_front.jpg,"cotton, linen","dress, shirt",White-blue,SE0000670,5,cotton,5,17,1
img,MEN,Sweaters,id_00000694,01_1_front.jpg,cotton,"dress, shirt, dresses",Blue-cream,SE0000694,2,cotton,2,17,1
img,MEN,Sweaters,id_00000694,03_1_front.jpg,cotton,"dress, shirt, dresses",Coral-cream,SE0000695,2,cotton,2,17,1
img,MEN,Sweaters,id_00000702,04_1_front.jpg,cotton,"jeans, shirt",White,SE0000705,2,cotton,2,17,1
img,MEN,Sweaters,id_00000702,06_1_front.jpg,cotton,"jeans, shirt",Blue,SE0000706,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000711,01_1_front.jpg,cotton,"shorts, shirt",Blue-white,SE0000713,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000712,02_1_front.jpg,cotton,"top, long-sleeved, jeans, shirt",Red-blue,SE0000714,2,cotton,2,17,1
img,MEN,Sweaters,id_00000767,01_1_front.jpg,"cotton, denim","long-sleeved, shirt",Navy-white,SE0000767,2,cotton,2,17,1
img,MEN,Pants,id_00000785,01_1_front.jpg,cotton,joggers,Olive-brown,SE0000782,7,cotton,7,17,1
img,WOMEN,Dresses,id_00000795,02_1_front.jpg,"cotton, linen",dress,Navy-white,SE0000792,5,cotton,5,17,1
img,WOMEN,Denim,id_00000810,02_1_front.jpg,"cotton, denim","top, crop, trousers",Medium denim,SE0000809,7,cotton,7,17,1
img,MEN,Denim,id_00000826,01_1_front.jpg,"cotton, lace","jeans, mini",Black,SE0000829,7,cotton,7,17,1
img,MEN,Denim,id_00000826,02_1_front.jpg,"cotton, lace","jeans, mini",White,SE0000830,7,cotton,7,17,1
img,MEN,Denim,id_00000826,03_1_front.jpg,"cotton, lace","jeans, mini",Light denim,SE0000831,7,cotton,7,17,1
img,MEN,Denim,id_00000826,04_1_front.jpg,"cotton, lace","jeans, mini",Denim washed,SE0000832,7,cotton,7,17,1
img,MEN,Pants,id_00000836,02_1_front.jpg,"cotton, nylon, leather","dress, tee, shirt, pants",Black,SE0000841,7,cotton,7,17,1
img,MEN,Pants,id_00000836,03_1_front.jpg,"cotton, nylon, leather","dress, tee, shirt, pants",Navy,SE0000842,7,cotton,7,17,1
img,MEN,Pants,id_00000836,04_1_front.jpg,"cotton, nylon, leather","dress, tee, shirt, pants",Burgundy,SE0000843,7,cotton,7,17,1
img,MEN,Pants,id_00000844,01_1_front.jpg,"cotton, lace",,Brown-green,SE0000851,7,cotton,7,17,1
img,MEN,Shirts_Polos,id_00000846,01_1_front.jpg,cotton,shirt,Black,SE0000854,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000846,02_1_front.jpg,cotton,shirt,White,SE0000855,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000846,03_1_front.jpg,cotton,shirt,Blue,SE0000856,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000846,06_1_front.jpg,cotton,shirt,Coral,SE0000857,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000846,10_1_front.jpg,cotton,shirt,Dynasty green,SE0000858,2,cotton,2,17,1
img,MEN,Shorts,id_00000847,05_1_front.jpg,cotton,shorts,Khaki,SE0000859,7,cotton,7,17,1
img,MEN,Shorts,id_00000847,06_1_front.jpg,cotton,shorts,Burgundy,SE0000860,7,cotton,7,17,1
img,MEN,Shorts,id_00000847,07_1_front.jpg,cotton,shorts,Black,SE0000861,7,cotton,7,17,1
img,MEN,Shorts,id_00000847,08_1_front.jpg,cotton,shorts,Olive,SE0000862,7,cotton,7,17,1
img,MEN,Sweaters,id_00000859,01_1_front.jpg,cotton,shirt,Red-blue,SE0000876,2,cotton,2,17,1
img,WOMEN,Dresses,id_00000866,01_1_front.jpg,cotton,"dress, sleeveless, shirt, maxi, mini",Navy-cream,SE0000878,5,cotton,5,17,1
img,MEN,Denim,id_00000867,01_1_front.jpg,"cotton, denim",jeans,Denim washed,SE0000879,7,cotton,7,17,1
img,WOMEN,Blouses_Shirts,id_00000876,02_1_front.jpg,cotton,"long-sleeved, shirt, mini",Black-white,SE0000885,2,cotton,2,17,1
img,MEN,Sweaters,id_00000877,01_1_front.jpg,cotton,shirt,White-purple,SE0000886,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00000898,04_1_front.jpg,cotton,shirt,White-blue,SE0000901,2,cotton,2,17,1
img,MEN,Shorts,id_00000931,02_1_front.jpg,cotton,shorts,White-black,SE0000924,7,cotton,7,17,1
img,MEN,Denim,id_00000938,03_1_front.jpg,cotton,"tee, jeans, jacket",Red,SE0000930,7,cotton,7,17,1
img,WOMEN,Dresses,id_00001001,03_1_front.jpg,"cotton, rayon, lace","dress, sleeveless, slip, flare",Cream,SE0000988,5,cotton,5,17,1
img,MEN,Shirts_Polos,id_00001005,01_1_front.jpg,cotton,shirt,White-blue,SE0000990,2,cotton,2,17,1
img,MEN,Sweaters,id_00001008,01_1_front.jpg,cotton,,Black,SE0000993,2,cotton,2,17,1
img,MEN,Sweaters,id_00001008,04_1_front.jpg,cotton,,Navy,SE0000994,2,cotton,2,17,1
img,MEN,Sweaters,id_00001008,05_1_front.jpg,cotton,,Grey,SE0000995,2,cotton,2,17,1
img,MEN,Sweaters,id_00001008,06_1_front.jpg,cotton,,Green,SE0000996,2,cotton,2,17,1
img,WOMEN,Cardigans,id_00001046,02_1_front.jpg,"cotton, rayon, nylon, lace, mesh","top, vest",Cream-cream,SE0001043,6,cotton,6,17,1
img,WOMEN,Blouses_Shirts,id_00001047,02_1_front.jpg,"cotton, rayon, crepe","top, sleeveless",Rust,SE0001044,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001051,01_1_front.jpg,cotton,shirt,Ivory-blue,SE0001049,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00001055,02_1_front.jpg,cotton,shirt,Black-red,SE0001053,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001061,01_1_front.jpg,"cotton, denim","dress, shirt, trousers",Coral-blue,SE0001059,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001083,01_1_front.jpg,"cotton, semi-sheer",top,Cream,SE0001079,2,cotton,2,17,1
img,MEN,Sweaters,id_00001088,01_1_front.jpg,"cotton, denim, chambray","shirt, sneakers",Denim washed,SE0001087,2,cotton,2,17,1
img,WOMEN,Denim,id_00001099,03_1_front.jpg,cotton,jeans,Blue,SE0001102,7,cotton,7,17,1
img,WOMEN,Denim,id_00001099,05_1_front.jpg,cotton,jeans,Black,SE0001103,7,cotton,7,17,1
img,WOMEN,Dresses,id_00001100,02_1_front.jpg,"cotton, rayon, crochet, crepe","dress, sleeveless, maxi",Black,SE0001104,5,cotton,5,17,1
img,WOMEN,Tees_Tanks,id_00001101,02_1_front.jpg,"cotton, rayon","top, crop, cutoffs, halter",Black-white,SE0001105,2,cotton,2,17,1
img,WOMEN,Tees_Tanks,id_00001111,01_1_front.jpg,"cotton, nylon, mesh","top, sleeveless",Cream,SE0001115,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001129,01_1_front.jpg,cotton,"dress, long-sleeved",Cream-black,SE0001130,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001175,02_1_front.jpg,"cotton, semi-sheer, linen","top, tee, long-sleeved",White,SE0001163,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001180,01_1_front.jpg,cotton,crop,Red-navy,SE0001165,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00001184,01_1_front.jpg,cotton,"shirt, mini",Navy-white,SE0001167,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00001184,03_1_front.jpg,cotton,"shirt, mini",White-navy,SE0001168,2,cotton,2,17,1
img,MEN,Denim,id_00001198,01_1_front.jpg,"cotton, denim","jeans, joggers",White,SE0001180,7,cotton,7,17,1
img,MEN,Denim,id_00001198,02_1_front.jpg,"cotton, denim","jeans, joggers",Khaki,SE0001181,7,cotton,7,17,1
img,MEN,Denim,id_00001198,03_1_front.jpg,"cotton, denim","jeans, joggers",Olive,SE0001182,7,cotton,7,17,1
img,MEN,Denim,id_00001198,04_1_front.jpg,"cotton, denim","jeans, joggers",Burgundy,SE0001183,7,cotton,7,17,1
img,WOMEN,Tees_Tanks,id_00001203,03_1_front.jpg,"cotton, rayon, crochet","cami, crop, cropped, spaghetti",Rose,SE0001187,2,cotton,2,17,1
img,WOMEN,Tees_Tanks,id_00001203,04_1_front.jpg,"cotton, rayon, crochet","cami, crop, cropped, spaghetti",Ivory,SE0001188,2,cotton,2,17,1
img,MEN,Pants,id_00001207,05_1_front.jpg,cotton,"pants, joggers",Khaki,SE0001192,7,cotton,7,17,1
img,MEN,Pants,id_00001207,06_1_front.jpg,cotton,"pants, joggers",Navy,SE0001193,7,cotton,7,17,1
img,MEN,Pants,id_00001207,07_1_front.jpg,cotton,"pants, joggers",Olive,SE0001194,7,cotton,7,17,1
img,MEN,Denim,id_00001223,01_1_front.jpg,cotton,jeans,Denim washed,SE0001223,7,cotton,7,17,1
img,MEN,Denim,id_00001231,01_1_front.jpg,cotton,jeans,Light denim,SE0001229,7,cotton,7,17,1
img,MEN,Shorts,id_00001246,01_1_front.jpg,cotton,shorts,Blue-pink,SE0001243,7,cotton,7,17,1
img,MEN,Sweaters,id_00001266,01_1_front.jpg,"cotton, chambray","top, shirt",Blue,SE0001252,2,cotton,2,17,1
img,MEN,Jackets_Vests,id_00001291,01_1_front.jpg,"cotton, denim","long-sleeved, jacket",Denim washed,SE0001277,6,cotton,6,17,1
img,MEN,Sweaters,id_00001315,01_1_front.jpg,cotton,"long-sleeved, shirt, mini",Light blue,SE0001295,2,cotton,2,17,1
img,MEN,Sweaters,id_00001315,02_1_front.jpg,cotton,"long-sleeved, shirt, mini",White,SE0001296,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001325,02_1_front.jpg,"cotton, rayon, nylon, crochet",top,Teal,SE0001303,2,cotton,2,17,1
img,MEN,Sweaters,id_00001329,01_1_front.jpg,cotton,long-sleeved,Blue,SE0001310,2,cotton,2,17,1
img,MEN,Sweaters,id_00001355,01_1_front.jpg,cotton,shirt,Navy,SE0001328,2,cotton,2,17,1
img,MEN,Sweaters,id_00001355,02_1_front.jpg,cotton,shirt,Cream,SE0001329,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001358,01_1_front.jpg,"cotton, rayon, crochet, gauze",cami,Black-cream,SE0001330,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001358,02_1_front.jpg,"cotton, rayon, crochet, gauze",cami,Cream-black,SE0001331,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001364,01_1_front.jpg,"cotton, textured",shirt,White,SE0001339,2,cotton,2,17,1
img,MEN,Shorts,id_00001365,01_1_front.jpg,cotton,"tee, shorts, tees",Black-white,SE0001340,7,cotton,7,17,1
img,MEN,Shirts_Polos,id_00001366,04_1_front.jpg,"cotton, lace",shirt,Blue-cream,SE0001341,2,cotton,2,17,1
img,MEN,Shirts_Polos,id_00001366,05_1_front.jpg,"cotton, lace",shirt,Pink-cream,SE0001342,2,cotton,2,17,1
img,WOMEN,Blouses_Shirts,id_00001418,01_1_front.jpg,cotton,shirt,Ivory-green,SE0001402,2,cotton,2,17,1
